Num Hilos;Ticks;Resultado
1;39.070;6.059,30
2;76.983;6.059,30
3;80.323;6.059,30
4;65.552;6.059,30
5;42.892;6.059,30
6;55.382;6.059,30
7;50.314;6.059,30
8;39.091;6.059,30
9;48.350;6.059,30
10;34.487;6.059,30
11;35.103;6.059,30
12;34.041;6.059,30
13;38.357;6.059,30
14;35.017;6.059,30
15;38.823;6.059,30
16;37.489;6.059,30
17;37.902;6.059,30
18;33.151;6.059,30
19;30.345;6.059,30
20;31.604;6.059,30
21;31.447;6.059,30
22;36.242;6.059,30
23;32.131;6.059,30
24;37.330;6.059,30
25;36.569;6.059,30
26;31.981;6.059,30
27;35.244;6.059,30
28;31.039;6.059,30
29;32.277;6.059,30
30;34.265;6.059,30
31;34.911;6.059,30
32;33.016;6.059,30
33;33.740;6.059,30
34;31.307;6.059,30
35;32.416;6.059,30
