Num Hilos;Ticks;Resultado
1;26.866;6.055,41
2;16.246;6.055,41
3;35.928;6.055,41
4;24.963;6.055,41
5;23.658;6.055,41
6;26.370;6.055,41
7;21.699;6.055,41
8;18.857;6.055,41
9;31.408;6.055,41
10;25.802;6.055,41
11;23.970;6.055,41
12;18.245;6.055,41
13;20.550;6.055,41
14;15.524;6.055,41
15;13.160;6.055,41
16;13.036;6.055,41
17;14.348;6.055,41
18;15.121;6.055,41
19;15.020;6.055,41
20;15.693;6.055,41
21;16.163;6.055,41
22;17.348;6.055,41
23;18.116;6.055,41
24;19.273;6.055,41
25;19.842;6.055,41
26;392.579;6.055,41
27;36.387;6.055,41
28;30.265;6.055,41
29;23.719;6.055,41
30;24.598;6.055,41
31;23.933;6.055,41
32;25.685;6.055,41
33;25.605;6.055,41
34;27.235;6.055,41
35;27.507;6.055,41
