Hilos;Ejecucion;Ticks
1;1;19787
1;2;4818
1;3;5471
1;4;3620
1;5;3083
1;6;2919
1;7;2775
1;8;2298
1;9;2950
1;10;2504
1;11;2673
1;12;2235
1;13;3338
1;14;2296
1;15;2495
Media Ticks: 
1;4217
2;1;3385
2;2;4828
2;3;4250
2;4;3724
2;5;3272
2;6;3633
2;7;3608
2;8;4127
2;9;3165
2;10;3380
2;11;2930
2;12;3628
2;13;3627
2;14;5701
2;15;4700
Media Ticks: 
2;3863
3;1;5426
3;2;4354
3;3;3916
3;4;4375
3;5;4487
3;6;4027
3;7;3901
3;8;3991
3;9;4257
3;10;3864
3;11;4420
3;12;3972
3;13;3958
3;14;4781
3;15;4352
Media Ticks: 
3;4272
4;1;5987
4;2;5615
4;3;5552
4;4;4941
4;5;5083
4;6;4907
4;7;6257
4;8;6401
4;9;5368
4;10;5477
4;11;8202
4;12;6437
4;13;5642
4;14;5052
4;15;4844
Media Ticks: 
4;5717
5;1;9569
5;2;6568
5;3;6521
5;4;8307
5;5;7019
5;6;6734
5;7;6539
5;8;8133
5;9;7587
5;10;8093
5;11;6327
5;12;5745
5;13;6029
5;14;5806
5;15;5507
Media Ticks: 
5;6965
6;1;7243
6;2;6686
6;3;7150
6;4;6698
6;5;6893
6;6;6990
6;7;7049
6;8;8175
6;9;7563
6;10;7191
6;11;6634
6;12;7438
6;13;6377
6;14;6427
6;15;7419
Media Ticks: 
6;7062
7;1;9339
7;2;7655
7;3;6959
7;4;9173
7;5;7257
7;6;11518
7;7;13238
7;8;8145
7;9;7693
7;10;8661
7;11;8285
7;12;9154
7;13;15313
7;14;10095
7;15;9099
Media Ticks: 
7;9438
8;1;10146
8;2;9855
8;3;11285
8;4;11234
8;5;11419
8;6;11898
8;7;10316
8;8;10130
8;9;9534
8;10;11313
8;11;10351
8;12;10739
8;13;11283
8;14;12975
8;15;11796
Media Ticks: 
8;10951
9;1;11149
9;2;10148
9;3;9040
9;4;8887
9;5;10985
9;6;10981
9;7;10653
9;8;13439
9;9;10278
9;10;11106
9;11;11840
9;12;9683
9;13;10736
9;14;11767
9;15;10837
Media Ticks: 
9;10768
10;1;12004
10;2;12251
10;3;12433
10;4;11197
10;5;11754
10;6;10630
10;7;12860
10;8;13617
10;9;12846
10;10;15355
10;11;13461
10;12;11866
10;13;18249
10;14;11936
10;15;14792
Media Ticks: 
